order_id,customer_id,restaurant_id,order_datetime,order_channel,party_size,total_amount,discount_amount,delivery_minutes,order_status
1,12215,4409,2024-07-17 13:59:00,website,4,383.38,0.0,0,completed
2,12563,6597,2025-09-16 13:19:00,app,6,241.29,36.19,0,completed
3,3827,10848,2024-09-12 20:28:00,website,4,71.62,0.0,0,completed
4,14725,3026,2024-12-18 17:51:00,dine_in,2,93.6,9.36,0,completed
5,14895,9106,2024-12-22 17:15:00,takeaway,6,188.72,28.31,0,completed
6,14985,11046,2024-02-13 16:47:00,app,1,19.76,1.98,0,completed
7,7704,9652,2025-11-02 14:59:00,delivery,8,247.98,12.4,40,completed
8,5669,10142,2025-07-20 10:55:00,website,8,418.29,62.74,0,completed
9,7948,7609,2025-02-02 14:23:00,dine_in,1,375.3,37.53,0,completed
10,2647,8954,2024-11-22 20:49:00,takeaway,5,149.55,0.0,0,completed
11,6138,1334,2024-09-02 11:12:00,dine_in,7,331.13,0.0,0,completed
12,10308,11084,2025-08-20 18:17:00,website,3,105.0,10.5,0,completed
13,11258,6969,2024-04-09 14:36:00,dine_in,8,509.99,25.5,0,completed
14,7706,3995,2024-06-13 22:29:00,dine_in,5,53.02,0.0,0,completed
15,195,2838,2025-10-19 19:32:00,delivery,2,948.65,0.0,17,completed
16,7679,8374,2025-11-09 22:26:00,delivery,2,387.77,0.0,14,completed
17,9372,1625,2024-02-05 13:31:00,dine_in,3,112.5,11.25,0,completed
18,6845,5405,2024-03-24 15:43:00,delivery,8,351.96,52.79,71,completed
19,8524,4173,2024-02-23 16:07:00,delivery,1,118.54,5.93,27,completed
20,14021,4899,2025-07-23 15:08:00,dine_in,2,855.89,0.0,0,completed
21,684,2283,2025-11-12 22:40:00,dine_in,5,251.83,0.0,0,completed
22,10481,5816,2024-09-05 13:13:00,delivery,3,141.28,7.06,25,completed
23,3565,5774,2025-09-07 22:52:00,delivery,8,324.1,48.62,59,completed
24,6902,4309,2025-11-22 22:49:00,dine_in,6,262.19,0.0,0,completed
25,5271,9263,2024-10-02 15:05:00,delivery,7,247.08,12.35,28,completed
26,12831,5798,2024-03-19 21:39:00,app,8,271.99,27.2,0,completed
27,3223,6797,2024-05-14 21:48:00,website,2,352.53,17.63,0,completed
28,10670,691,2024-04-25 23:15:00,delivery,7,435.26,21.76,48,completed
29,10570,5159,2024-11-18 10:17:00,dine_in,2,443.55,0.0,0,completed
30,13225,253,2024-09-17 23:05:00,delivery,7,119.81,0.0,19,completed
31,7614,4806,2024-02-07 18:37:00,website,2,79.78,0.0,0,completed
32,6950,5006,2024-05-22 23:00:00,delivery,5,146.77,0.0,20,completed
33,5054,417,2024-02-10 11:37:00,takeaway,5,1143.87,0.0,0,completed
34,12799,6177,2024-03-25 22:33:00,takeaway,2,154.04,0.0,0,completed
35,3152,11853,2025-06-09 11:20:00,website,4,126.42,18.96,0,completed
36,4001,5074,2025-07-24 14:48:00,dine_in,4,367.43,0.0,0,completed
37,11182,11985,2024-10-24 14:07:00,dine_in,7,199.93,0.0,0,completed
38,14616,2343,2025-08-22 16:58:00,takeaway,5,204.55,30.68,0,completed
39,5254,8987,2024-01-13 19:47:00,dine_in,6,146.41,0.0,0,completed
40,10857,9117,2024-08-30 17:29:00,app,6,423.86,63.58,0,completed
41,9119,10398,2024-02-28 15:53:00,dine_in,8,684.23,0.0,0,cancelled
42,11165,282,2025-10-26 23:06:00,takeaway,5,190.56,0.0,0,completed
43,13017,9036,2024-03-06 18:10:00,app,1,30.0,0.0,0,completed
44,7713,9670,2024-09-11 20:34:00,takeaway,7,193.89,0.0,0,completed
45,11691,2537,2025-05-05 18:31:00,takeaway,2,1423.29,0.0,0,completed
46,7349,8654,2025-11-10 16:01:00,dine_in,4,292.36,0.0,0,completed
47,5445,2523,2025-01-17 23:51:00,website,4,158.95,0.0,0,completed
48,2726,9504,2025-01-19 16:46:00,app,6,139.92,0.0,0,completed
49,9778,8490,2025-06-14 11:17:00,dine_in,2,134.91,20.24,0,completed
50,11747,8982,2025-05-23 13:25:00,app,6,142.68,0.0,0,completed
51,3396,2835,2024-05-02 15:47:00,dine_in,8,25.51,0.0,0,completed
52,8101,10562,2024-07-16 13:41:00,delivery,3,140.01,0.0,66,completed
53,11953,5111,2024-07-28 17:17:00,app,2,409.2,40.92,0,completed
54,10649,7202,2025-02-28 23:20:00,delivery,7,413.72,0.0,12,completed
55,1228,10024,2024-06-05 11:49:00,app,6,133.29,0.0,0,completed
56,3082,11540,2024-01-21 23:10:00,dine_in,5,349.51,17.48,0,completed
57,553,4877,2024-12-10 10:17:00,dine_in,4,90.61,9.06,0,completed
58,2984,6466,2025-09-06 22:36:00,delivery,8,149.55,7.48,18,completed
59,3316,5616,2025-12-13 14:32:00,delivery,2,468.91,0.0,73,completed
60,13707,8669,2025-07-01 10:01:00,dine_in,1,71.22,0.0,0,completed
61,13255,5851,2024-01-31 15:27:00,dine_in,6,73.54,0.0,0,completed
62,1809,1619,2025-02-05 20:43:00,website,2,211.83,0.0,0,completed
63,7863,10973,2024-04-22 12:57:00,dine_in,8,175.53,0.0,0,completed
64,6635,6190,2024-03-02 16:32:00,delivery,6,330.65,49.6,40,completed
65,7820,5656,2024-12-02 15:00:00,app,5,229.35,0.0,0,completed
66,4760,3899,2025-11-09 13:42:00,delivery,7,187.97,0.0,51,completed
67,11067,11171,2024-04-09 20:10:00,dine_in,1,392.55,19.63,0,completed
68,4767,7614,2025-03-19 18:20:00,takeaway,8,85.28,0.0,0,completed
