restaurant_id,name,name_he,city,city_he,region,region_he,cuisine,cuisine_he,restaurant_type,restaurant_type_he,kosher,avg_price_per_person,price_level,rating,suitable_for,suitable_for_he,recommended_dish,recommended_dish_he,is_known_recommended,is_real_name,data_source_note
1,Aroma - Holon Branch 1,ארומה - חולון סניף 1,Holon,חולון,Center,מרכז,Cafe,בית קפה,Dairy,חלבי,Yes,85,Medium,4.3,"Families,Friends","משפחות,חברים",Israeli Breakfast,ארוחת בוקר ישראלית,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
2,Cafe Cafe - Beer Sheva Branch 1,קפה קפה - באר שבע סניף 1,Beer Sheva,באר שבע,South,דרום,Cafe,בית קפה,Dairy,חלבי,Yes,62,Cheap,4.4,"Families,Students","משפחות,סטודנטים",Israeli Breakfast,ארוחת בוקר ישראלית,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
3,Greg - Nazareth Branch 1,גרג - נצרת סניף 1,Nazareth,נצרת,North,צפון,Cafe,בית קפה,Dairy,חלבי,Yes,51,Cheap,4.7,"Families,Friends","משפחות,חברים",Shakshuka,שקשוקה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
4,Landwer - Givatayim Branch 1,לנדוור - גבעתיים סניף 1,Givatayim,גבעתיים,Center,מרכז,Cafe,בית קפה,Dairy,חלבי,Yes,50,Cheap,4.7,"Families,Students","משפחות,סטודנטים",Landwer Breakfast,ארוחת בוקר לנדוור,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
5,McDonald's Israel - Zichron Yaakov Branch 1,מקדונלד'ס ישראל - זכרון יעקב סניף 1,Zichron Yaakov,זכרון יעקב,North,צפון,Fast Food,מזון מהיר,Meat,בשרי,No,45,Cheap,4.3,"Families,Students","משפחות,סטודנטים",Big Mac,ביג מק,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
6,Burger Ranch - Rosh Pina Branch 1,בורגר ראנץ' - ראש פינה סניף 1,Rosh Pina,ראש פינה,North,צפון,Fast Food,מזון מהיר,Meat,בשרי,Yes,61,Cheap,4.7,"Families,Friends","משפחות,חברים",Ranch Burger,ראנץ' בורגר,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
7,BBB - Zichron Yaakov Branch 1,BBB - זכרון יעקב סניף 1,Zichron Yaakov,זכרון יעקב,North,צפון,Burgers,המבורגרים,Meat,בשרי,No,87,Medium,4.8,"Families,Friends","משפחות,חברים",Classic Burger,המבורגר קלאסי,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
8,Agadir - Petah Tikva Branch 1,אגאדיר - פתח תקווה סניף 1,Petah Tikva,פתח תקווה,Center,מרכז,Burgers,המבורגרים,Meat,בשרי,No,109,Medium,4.5,"Friends,Students","חברים,סטודנטים",Agadir Burger,המבורגר אגאדיר,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
9,Moses - Modiin Branch 1,מוזס - מודיעין סניף 1,Modiin,מודיעין,Center,מרכז,Burgers,המבורגרים,Meat,בשרי,No,112,Medium,4.4,"Families,Students","משפחות,סטודנטים",Moses Burger,המבורגר מוזס,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
10,Burgers Bar - Haifa Branch 1,בורגרס בר - חיפה סניף 1,Haifa,חיפה,North,צפון,Burgers,המבורגרים,Meat,בשרי,Yes,123,Medium,4.8,"Families,Friends","משפחות,חברים",Classic Burger,המבורגר קלאסי,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
11,Japanika - Rishon LeZion Branch 1,ג'פניקה - ראשון לציון סניף 1,Rishon LeZion,ראשון לציון,Center,מרכז,Japanese,יפני,Mixed,מעורב,No,149,Medium,4.5,"Families,Friends","משפחות,חברים",Sushi Combo,קומבינציית סושי,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
12,River - Kfar Saba Branch 1,ריבר - כפר סבא סניף 1,Kfar Saba,כפר סבא,Center,מרכז,Asian,אסייתי,Mixed,מעורב,No,117,Medium,5.0,"Couples,Friends","זוגות,חברים",Pad Thai,פאד תאי,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
13,Giraffe - Acre Branch 1,ג'ירף - עכו סניף 1,Acre,עכו,North,צפון,Asian,אסייתי,Mixed,מעורב,No,103,Medium,4.3,"Families,Friends","משפחות,חברים",Noodles,נודלס,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
14,Kampai - Jerusalem Branch 1,קמפאי - ירושלים סניף 1,Jerusalem,ירושלים,Jerusalem,ירושלים,Asian,אסייתי,Mixed,מעורב,No,135,Medium,4.9,"Business,Friends","עסקים,חברים",Asian Noodles,נודלס אסייתי,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
15,Sushi Rehavia - Ashkelon Branch 1,סושי רחביה - אשקלון סניף 1,Ashkelon,אשקלון,South,דרום,Japanese,יפני,Dairy,חלבי,Yes,128,Medium,4.8,"Business,Friends","עסקים,חברים",Sushi Roll,רול סושי,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
16,Domino's Pizza - Rosh Pina Branch 1,דומינוס פיצה - ראש פינה סניף 1,Rosh Pina,ראש פינה,North,צפון,Pizza,פיצה,Dairy,חלבי,No,84,Medium,4.6,"Friends,Students","חברים,סטודנטים",Margherita Pizza,פיצה מרגריטה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
17,Pizza Hut - Jerusalem Branch 1,פיצה האט - ירושלים סניף 1,Jerusalem,ירושלים,Jerusalem,ירושלים,Pizza,פיצה,Dairy,חלבי,No,60,Cheap,4.6,"Families,Friends","משפחות,חברים",Pan Pizza,פיצה פאן,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
18,Papa John's - Kfar Saba Branch 1,פאפא ג'ונס - כפר סבא סניף 1,Kfar Saba,כפר סבא,Center,מרכז,Pizza,פיצה,Dairy,חלבי,No,94,Medium,4.9,"Friends,Students","חברים,סטודנטים",Pepperoni Pizza,פיצה פפרוני,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
19,Benedict - Ashdod Branch 1,בנדיקט - אשדוד סניף 1,Ashdod,אשדוד,South,דרום,Breakfast,ארוחות בוקר,Dairy,חלבי,No,106,Medium,4.4,"Families,Students","משפחות,סטודנטים",Eggs Benedict,אגז בנדיקט,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
20,Goocha - Acre Branch 1,גוצ'ה - עכו סניף 1,Acre,עכו,North,צפון,Seafood,פירות ים,Fish,דגים,No,161,Medium,4.7,"Date,Business","דייט,עסקים",Seafood Pasta,פסטה פירות ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
21,Taizu - Jerusalem Branch 1,טאיזו - ירושלים סניף 1,Jerusalem,ירושלים,Jerusalem,ירושלים,Asian Fusion,אסייתי פיוז'ן,Chef Restaurant,מסעדת שף,No,200,Expensive,4.9,"Couples,Business","זוגות,עסקים",Dim Sum,דים סאם,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
22,OCD TLV - Kfar Saba Branch 1,OCD תל אביב - כפר סבא סניף 1,Kfar Saba,כפר סבא,Center,מרכז,Fine Dining,מסעדת יוקרה,Chef Restaurant,מסעדת שף,No,689,Expensive,4.4,"Couples,Special Occasion","זוגות,אירוע מיוחד",Tasting Menu,ארוחת טעימות,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
23,Mashya - Beer Sheva Branch 1,משייה - באר שבע סניף 1,Beer Sheva,באר שבע,South,דרום,Mediterranean,ים תיכוני,Chef Restaurant,מסעדת שף,No,203,Expensive,4.3,"Date,Business","דייט,עסקים",Sea Fish,דג ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
24,Shila - Tiberias Branch 1,שילה - טבריה סניף 1,Tiberias,טבריה,North,צפון,Seafood,פירות ים,Chef Restaurant,מסעדת שף,No,203,Expensive,4.7,"Couples,Special Occasion","זוגות,אירוע מיוחד",Fish Carpaccio,קרפצ'יו דג,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
