item_id,restaurant_id,category,item_name,price,is_vegan,is_gluten_free,popularity_score
1,1,Main,Breakfast Platter,25.0,No,No,94
2,1,Side,Cappuccino,25.85,No,No,86
3,1,Side,Caesar Salad,32.45,No,No,78
4,1,Dessert,Chocolate Cake,39.05,No,No,70
5,2,Main,Breakfast Platter,25.0,No,No,93
6,2,Side,Cappuccino,30.55,No,No,85
7,2,Side,Caesar Salad,38.35,No,No,77
8,2,Dessert,Chocolate Cake,46.15,No,No,69
9,3,Main,Breakfast Platter,25.0,No,No,92
10,3,Side,Cappuccino,32.9,No,No,84
11,3,Side,Caesar Salad,41.3,No,No,76
12,3,Dessert,Chocolate Cake,49.7,No,No,68
13,4,Main,Breakfast Platter,26.25,No,No,91
14,4,Side,Cappuccino,35.25,No,No,83
15,4,Side,Caesar Salad,44.25,No,No,75
16,4,Dessert,Chocolate Cake,53.25,No,No,67
17,5,Main,Chef Special,25.0,No,No,90
18,5,Side,Fries,25.85,No,No,82
19,5,Side,Chicken Nuggets,32.45,No,No,74
20,5,Dessert,Soft Drink,39.05,No,No,66
21,6,Main,Chef Special,25.0,No,No,89
22,6,Side,Fries,28.2,No,No,81
23,6,Side,Chicken Nuggets,35.4,No,No,73
24,6,Dessert,Soft Drink,42.6,No,No,65
25,7,Main,Classic Burger,33.25,No,No,95
26,7,Side,Fries,44.65,No,No,87
27,7,Side,Onion Rings,56.05,No,No,79
28,8,Main,Classic Burger,38.5,No,No,94
29,8,Side,Fries,51.7,No,No,86
30,8,Side,Onion Rings,64.9,No,No,78
31,9,Main,Classic Burger,42.0,No,No,93
32,9,Side,Fries,56.4,No,No,85
33,9,Side,Onion Rings,70.8,No,No,77
34,10,Main,Classic Burger,26.25,No,No,92
35,10,Side,Fries,35.25,No,No,84
36,10,Side,Onion Rings,44.25,No,No,76
37,11,Main,Sushi Roll,36.75,No,No,91
38,11,Side,Miso Soup,49.35,No,No,83
39,11,Side,Tempura,61.95,No,No,75
40,12,Main,Pad Thai,40.25,No,No,90
41,12,Side,Noodles,54.05,No,No,82
42,12,Side,Spring Rolls,67.85,No,No,74
43,13,Main,Pad Thai,42.0,No,No,89
44,13,Side,Noodles,56.4,No,No,81
45,13,Side,Spring Rolls,70.8,No,No,73
46,14,Main,Pad Thai,45.5,No,No,95
47,14,Side,Noodles,61.1,No,No,87
48,14,Side,Spring Rolls,76.7,No,No,79
49,15,Main,Sushi Roll,35.0,No,No,94
50,15,Side,Miso Soup,47.0,No,No,86
51,15,Side,Tempura,59.0,No,No,78
52,16,Main,Pepperoni Pizza,25.0,No,No,93
53,16,Side,Margherita Pizza,30.55,No,No,85
54,16,Side,Garlic Bread,38.35,No,No,77
55,16,Dessert,Tiramisu,46.15,No,No,69
56,17,Main,Pepperoni Pizza,25.0,No,No,92
57,17,Side,Margherita Pizza,32.9,No,No,84
58,17,Side,Garlic Bread,41.3,No,No,76
59,17,Dessert,Tiramisu,49.7,No,No,68
60,18,Main,Pepperoni Pizza,26.25,No,No,91
61,18,Side,Margherita Pizza,35.25,No,No,83
62,18,Side,Garlic Bread,44.25,No,No,75
63,18,Dessert,Tiramisu,53.25,No,No,67
64,19,Main,Chef Special,31.5,No,No,90
65,19,Side,Eggs Benedict,42.3,No,No,82
66,19,Side,Pancakes,53.1,No,No,74
67,19,Dessert,Fresh Juice,63.9,No,No,66
68,20,Main,Grilled Sea Bass,52.5,No,No,89
69,20,Side,Calamari,70.5,No,No,81
70,20,Side,Fish & Chips,88.5,No,No,73
71,21,Main,Sea Bass,63.0,No,No,95
72,21,Side,Hummus Plate,84.6,Yes,No,87
73,21,Side,Greek Salad,106.2,Yes,No,79
74,21,Dessert,Kebab Plate,127.8,Yes,No,71
75,22,Main,Sea Bass,63.0,No,No,94
76,22,Side,Hummus Plate,84.6,Yes,No,86
77,22,Side,Greek Salad,106.2,Yes,No,78
78,22,Dessert,Kebab Plate,127.8,Yes,No,70
79,23,Main,Sea Bass,63.0,No,No,93
80,23,Side,Hummus Plate,84.6,Yes,No,85
81,23,Side,Greek Salad,106.2,Yes,No,77
82,23,Dessert,Kebab Plate,127.8,Yes,No,69
83,24,Main,Sea Bass,63.0,No,No,92
84,24,Side,Hummus Plate,84.6,Yes,No,84
85,24,Side,Greek Salad,106.2,Yes,No,76
86,24,Dessert,Kebab Plate,127.8,Yes,No,68
87,25,Main,Sea Bass,63.0,No,No,91
88,25,Side,Hummus Plate,84.6,Yes,No,83
89,25,Side,Greek Salad,106.2,Yes,No,75
90,25,Dessert,Kebab Plate,127.8,Yes,No,67
91,26,Main,Sea Bass,63.0,No,No,90
92,26,Side,Hummus Plate,84.6,Yes,No,82
93,26,Side,Greek Salad,106.2,Yes,No,74
94,26,Dessert,Kebab Plate,127.8,Yes,No,66
95,27,Main,Sea Bass,63.0,No,No,89
96,27,Side,Hummus Plate,84.6,Yes,No,81
97,27,Side,Greek Salad,106.2,Yes,No,73
98,27,Dessert,Kebab Plate,127.8,Yes,No,65
99,28,Main,Sea Bass,63.0,No,No,95
100,28,Side,Hummus Plate,84.6,Yes,No,87
101,28,Side,Greek Salad,106.2,Yes,No,79
102,28,Dessert,Kebab Plate,127.8,Yes,No,71
103,29,Main,Sea Bass,63.0,No,No,94
104,29,Side,Hummus Plate,84.6,Yes,No,86
105,29,Side,Greek Salad,106.2,Yes,No,78
106,29,Dessert,Kebab Plate,127.8,Yes,No,70
107,30,Main,Sea Bass,63.0,No,No,93
108,30,Side,Hummus Plate,84.6,Yes,No,85
109,30,Side,Greek Salad,106.2,Yes,No,77
110,30,Dessert,Kebab Plate,127.8,Yes,No,69
111,31,Main,Sea Bass,63.0,No,No,92
112,31,Side,Hummus Plate,84.6,Yes,No,84
113,31,Side,Greek Salad,106.2,Yes,No,76
114,31,Dessert,Kebab Plate,127.8,Yes,No,68
115,32,Main,Sea Bass,63.0,No,No,91
116,32,Side,Hummus Plate,84.6,Yes,No,83
117,32,Side,Greek Salad,106.2,Yes,No,75
118,32,Dessert,Kebab Plate,127.8,Yes,No,67
119,33,Main,Sea Bass,63.0,No,No,90
120,33,Side,Hummus Plate,84.6,Yes,No,82
121,33,Side,Greek Salad,106.2,Yes,No,74
122,33,Dessert,Kebab Plate,127.8,Yes,No,66
123,34,Main,Sea Bass,63.0,No,No,89
124,34,Side,Hummus Plate,84.6,Yes,No,81
125,34,Side,Greek Salad,106.2,Yes,No,73
126,34,Dessert,Kebab Plate,127.8,Yes,No,65
127,35,Main,Sea Bass,63.0,No,No,95
128,35,Side,Hummus Plate,84.6,Yes,No,87
129,35,Side,Greek Salad,106.2,Yes,No,79
130,35,Dessert,Kebab Plate,127.8,Yes,No,71
131,36,Main,Sea Bass,63.0,No,No,94
132,36,Side,Hummus Plate,84.6,Yes,No,86
133,36,Side,Greek Salad,106.2,Yes,No,78
