review_id,customer_id,restaurant_id,order_id,review_date,rating,sentiment,review_text,service_score,food_score,cleanliness_score,will_return
1,12215,4409,1,2024-07-17,5,positive,The restaurant had excellent service. Cuisine was indian style. I ordered Noodles and the experience was positive.,5,5,4,1
2,12563,6597,2,2025-09-16,5,positive,The restaurant had delicious food. Cuisine was cafe style. I ordered Garlic Bread and the experience was positive.,5,5,4,1
3,3827,10848,3,2024-09-12,5,positive,The restaurant had fast delivery. Cuisine was pizza style. I ordered Ceviche and the experience was positive.,4,5,5,1
4,14895,9106,5,2024-12-22,3,neutral,The restaurant had average experience. Cuisine was sushi style. I ordered Miso Soup and the experience was neutral.,4,4,3,0
5,7704,9652,7,2025-11-02,2,negative,The restaurant had too expensive. Cuisine was mexican style. I ordered Tiramisu and the experience was negative.,1,1,2,0
6,7948,7609,9,2025-02-02,4,positive,The restaurant had recommended for dinner. Cuisine was pizza style. I ordered Dumplings and the experience was positive.,5,3,5,1
7,2647,8954,10,2024-11-22,4,positive,The restaurant had clean place. Cuisine was cafe style. I ordered Avocado Toast and the experience was positive.,4,4,5,1
8,6138,1334,11,2024-09-02,4,positive,The restaurant had fast delivery. Cuisine was asian style. I ordered Malabi and the experience was positive.,3,5,4,1
9,11258,6969,13,2024-04-09,4,positive,The restaurant had clean place. Cuisine was cafe style. I ordered Milkshake and the experience was positive.,3,4,3,1
10,9372,1625,17,2024-02-05,2,negative,The restaurant had noisy place. Cuisine was thai style. I ordered Butter Chicken and the experience was negative.,3,1,2,0
11,684,2283,21,2025-11-12,3,neutral,The restaurant had nothing special. Cuisine was steakhouse style. I ordered Burrito and the experience was neutral.,3,3,2,0
12,6902,4309,24,2025-11-22,4,positive,The restaurant had delicious food. Cuisine was mediterranean style. I ordered Pasta Alfredo and the experience was positive.,5,4,4,1
13,5271,9263,25,2024-10-02,4,positive,The restaurant had recommended for dinner. Cuisine was greek style. I ordered Tacos and the experience was positive.,5,5,5,1
14,3223,6797,27,2024-05-14,2,negative,The restaurant had food was cold. Cuisine was sushi style. I ordered Omelette and the experience was negative.,1,2,2,0
15,10670,691,28,2024-04-25,5,positive,The restaurant had high value for money. Cuisine was thai style. I ordered Risotto and the experience was positive.,5,5,4,1
16,13225,253,30,2024-09-17,4,positive,The restaurant had fresh ingredients. Cuisine was greek style. I ordered Ramen and the experience was positive.,4,5,4,1
17,14616,2343,38,2025-08-22,5,positive,The restaurant had friendly staff. Cuisine was sushi style. I ordered Samosa and the experience was positive.,5,5,4,1
18,13017,9036,43,2024-03-06,5,positive,The restaurant had recommended for dinner. Cuisine was burger style. I ordered Moussaka and the experience was positive.,5,4,5,1
19,11691,2537,45,2025-05-05,4,positive,The restaurant had fresh ingredients. Cuisine was thai style. I ordered Milkshake and the experience was positive.,3,3,5,1
20,5445,2523,47,2025-01-17,5,positive,The restaurant had fresh ingredients. Cuisine was sushi style. I ordered Spring Rolls and the experience was positive.,5,5,5,1
21,3396,2835,51,2024-05-02,4,positive,The restaurant had high value for money. Cuisine was thai style. I ordered Chocolate Cake and the experience was positive.,5,4,4,1
22,8101,10562,52,2024-07-16,3,neutral,The restaurant had average experience. Cuisine was pizza style. I ordered Yakitori and the experience was neutral.,3,3,4,0
