customer_id,age_group,city,preferred_cuisine,dietary_preference,signup_date
1,35-44,Tel Aviv,Vegan,gluten_free,2025-09-12
2,55+,Eilat,Greek,halal,2024-10-14
3,45-54,Netanya,Steakhouse,kosher,2025-08-30
4,55+,Rehovot,Vegan,halal,2023-12-07
5,45-54,Rehovot,Steakhouse,gluten_free,2024-04-12
6,25-34,Ramat Gan,Pizza,kosher,2023-06-20
7,45-54,Netanya,Asian,vegetarian,2025-06-30
8,25-34,Netanya,Steakhouse,halal,2024-02-14
9,18-24,Tel Aviv,Japanese,vegan,2025-08-28
10,25-34,Rishon LeZion,Seafood,none,2023-09-02
11,55+,Jerusalem,Mexican,kosher,2024-11-01
12,25-34,Netanya,Israeli,halal,2023-02-15
13,55+,Tel Aviv,Vegan,vegan,2025-07-18
14,18-24,Haifa,Pizza,low_carb,2024-11-02
15,18-24,Ramat Gan,Cafe,vegan,2024-03-25
16,25-34,Ashdod,Vegan,halal,2024-07-10
17,45-54,Jerusalem,Steakhouse,vegetarian,2024-12-26
18,35-44,Eilat,Greek,kosher,2024-04-28
19,45-54,Petah Tikva,Thai,vegetarian,2023-09-29
20,25-34,Ashdod,Greek,vegetarian,2024-12-13
21,35-44,Kfar Saba,Sushi,none,2023-06-09
22,55+,Givatayim,Indian,gluten_free,2025-07-04
23,45-54,Tel Aviv,Steakhouse,halal,2025-09-07
24,18-24,Beer Sheva,Cafe,gluten_free,2024-03-02
25,18-24,Beer Sheva,Italian,vegan,2024-03-06
26,45-54,Tel Aviv,Steakhouse,vegetarian,2025-04-05
27,18-24,Eilat,Greek,none,2024-08-07
28,18-24,Holon,Mexican,halal,2024-04-04
29,55+,Kfar Saba,Mediterranean,low_carb,2025-03-26
30,45-54,Givatayim,Mexican,low_carb,2025-01-26
31,25-34,Givatayim,Burger,none,2025-04-19
32,18-24,Tel Aviv,Asian,low_carb,2024-04-10
33,45-54,Holon,Steakhouse,halal,2025-09-07
34,45-54,Herzliya,Mexican,vegetarian,2024-08-05
35,55+,Beer Sheva,Israeli,vegan,2023-12-29
36,35-44,Tel Aviv,Steakhouse,vegan,2024-02-21
37,45-54,Petah Tikva,Seafood,none,2025-08-20
38,18-24,Rishon LeZion,Mexican,kosher,2023-06-15
39,55+,Netanya,Seafood,vegan,2025-06-11
40,35-44,Rehovot,Italian,vegetarian,2024-04-06
41,55+,Kfar Saba,Steakhouse,low_carb,2023-04-02
42,25-34,Tel Aviv,Cafe,vegan,2024-07-15
43,35-44,Ashdod,Cafe,gluten_free,2024-12-17
44,35-44,Netanya,Mediterranean,none,2025-09-10
45,18-24,Kfar Saba,Italian,halal,2023-10-18
46,55+,Netanya,Asian,vegan,2023-02-18
47,45-54,Ramat Gan,Japanese,kosher,2023-02-26
48,35-44,Haifa,Vegan,none,2024-08-21
49,25-34,Haifa,Burger,gluten_free,2024-11-11
50,25-34,Petah Tikva,Vegan,vegetarian,2023-10-15
51,25-34,Jerusalem,Thai,vegetarian,2024-06-09
52,25-34,Eilat,Pizza,low_carb,2025-03-12
53,18-24,Haifa,Mediterranean,kosher,2023-02-28
54,55+,Tel Aviv,Italian,halal,2025-02-10
55,25-34,Ashdod,Steakhouse,vegan,2024-05-07
56,45-54,Haifa,Japanese,none,2024-08-16
57,25-34,Haifa,Vegan,vegan,2023-03-22
58,55+,Tel Aviv,Indian,low_carb,2023-01-08
59,35-44,Netanya,Sushi,kosher,2024-10-26
60,18-24,Herzliya,Steakhouse,low_carb,2023-08-12
61,35-44,Rishon LeZion,Greek,vegetarian,2023-03-02
62,55+,Beer Sheva,Indian,none,2023-09-28
63,35-44,Kfar Saba,Italian,vegetarian,2023-10-16
64,35-44,Jerusalem,Mexican,low_carb,2024-04-18
65,18-24,Netanya,Steakhouse,none,2023-03-10
66,35-44,Netanya,Indian,low_carb,2024-04-10
67,25-34,Tel Aviv,Asian,vegan,2024-08-30
68,45-54,Netanya,Mediterranean,low_carb,2024-06-21
69,45-54,Jerusalem,Greek,vegan,2025-07-09
70,18-24,Holon,Israeli,vegan,2025-09-05
71,55+,Eilat,Japanese,gluten_free,2023-03-29
72,55+,Ramat Gan,Seafood,low_carb,2023-04-24
73,45-54,Ashdod,Japanese,vegetarian,2024-04-22
74,55+,Netanya,Mexican,none,2024-01-11
75,25-34,Kfar Saba,Israeli,kosher,2023-03-11
76,55+,Tel Aviv,Thai,gluten_free,2023-02-12
77,25-34,Herzliya,Mediterranean,none,2024-05-25
78,25-34,Haifa,Sushi,gluten_free,2025-09-07
79,45-54,Kfar Saba,Seafood,low_carb,2025-09-09
80,25-34,Petah Tikva,Japanese,vegan,2024-02-28
81,35-44,Ashdod,Israeli,halal,2023-06-25
82,45-54,Eilat,Vegan,low_carb,2023-10-13
83,35-44,Jerusalem,Indian,vegan,2023-11-01
84,25-34,Netanya,Asian,gluten_free,2025-08-23
85,55+,Rehovot,Thai,vegan,2025-09-17
86,25-34,Holon,Asian,vegetarian,2024-07-25
87,55+,Netanya,Cafe,halal,2023-12-09
88,45-54,Eilat,Indian,vegan,2023-11-29
89,25-34,Herzliya,Japanese,vegan,2024-05-27
90,35-44,Jerusalem,Pizza,halal,2025-08-29
91,18-24,Herzliya,Greek,vegan,2025-04-19
92,25-34,Netanya,Vegan,low_carb,2024-10-15
93,55+,Rishon LeZion,Vegan,kosher,2025-03-12
94,25-34,Rehovot,Indian,low_carb,2024-10-15
95,35-44,Kfar Saba,Pizza,none,2024-03-28
96,45-54,Tel Aviv,Cafe,none,2024-12-05
97,18-24,Ramat Gan,Vegan,kosher,2024-12-21
98,18-24,Netanya,Italian,low_carb,2023-09-07
99,18-24,Ashdod,Cafe,vegetarian,2024-09-22
100,25-34,Rehovot,Japanese,vegan,2024-04-17
101,35-44,Ashdod,Pizza,halal,2023-01-31
102,35-44,Ramat Gan,Mexican,halal,2023-07-03
103,18-24,Holon,Sushi,halal,2025-06-16
104,25-34,Tel Aviv,Thai,halal,2023-07-03
105,55+,Kfar Saba,Steakhouse,kosher,2024-03-17
106,55+,Kfar Saba,Thai,none,2024-09-22
107,45-54,Eilat,Indian,gluten_free,2025-07-31
108,25-34,Eilat,Thai,halal,2025-03-12
109,55+,Haifa,Israeli,low_carb,2023-05-17
110,55+,Haifa,Israeli,kosher,2024-06-13
111,55+,Ashdod,Vegan,none,2025-09-09
112,35-44,Petah Tikva,Burger,none,2024-05-02
113,25-34,Givatayim,Greek,vegetarian,2023-10-20
114,35-44,Eilat,Pizza,none,2023-11-19
